area,bhk,bedrooms,bathrooms,balcony,price,price_per_sqft,area_per_bhk,bathrooms_per_bhk,location_Khandwa Road Indore,location_Mhow Indore,location_Other,location_Rau Indore,location_Super Corridor Indore,location_Ujjain Indore Road Indore,property_type_House,property_type_Villa,furnishing_Semi-Furnished,furnishing_Unfurnished
1100.0,2.0,2.0,2.0,2.0,3329999.9999999995,3027.272727272727,550.0,1.0,False,False,True,False,False,False,True,False,False,True
2600.0,5.0,5.0,2.0,2.0,7870000.0,3026.923076923077,520.0,0.4,False,False,True,False,False,False,True,False,True,False
800.0,2.0,2.0,2.0,2.0,2420000.0,3025.0,400.0,1.0,False,False,True,False,False,False,True,False,True,False
1500.0,2.0,2.0,2.0,2.0,23000000.0,15333.333333333334,750.0,1.0,False,False,True,False,False,False,True,False,False,True
1000.0,2.0,2.0,2.0,2.0,2550000.0,2550.0,500.0,1.0,False,False,False,False,False,True,True,False,False,True
750.0,3.0,3.0,2.0,2.0,6000000.0,8000.0,250.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
1400.0,3.0,3.0,2.0,3.0,11000000.0,7857.142857142857,466.6666666666667,0.6666666666666666,False,False,True,False,False,False,False,True,True,False
1100.0,4.0,4.0,2.0,3.0,11200000.000000002,10181.818181818184,275.0,0.5,False,False,True,False,False,False,False,True,True,False
700.0,2.0,2.0,2.0,2.0,3500000.0,5000.0,350.0,1.0,False,False,True,False,False,False,True,False,False,True
1500.0,3.0,3.0,2.0,2.0,18500000.0,12333.333333333334,500.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
1640.0,2.0,2.0,2.0,2.0,10500000.0,6402.4390243902435,820.0,1.0,False,False,True,False,False,False,True,False,False,True
1215.0,3.0,3.0,2.0,3.0,7000000.0,5761.316872427984,405.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
900.0,2.0,2.0,2.0,2.0,7000000.0,7777.777777777777,450.0,1.0,False,False,True,False,False,False,True,False,False,False
1250.0,2.0,2.0,2.0,2.0,4630000.0,3704.0,625.0,1.0,False,False,True,False,False,False,True,False,False,True
1300.0,2.0,2.0,2.0,2.0,8450000.0,6500.0,650.0,1.0,False,False,True,False,False,False,True,False,False,True
1000.0,2.0,2.0,2.0,2.0,6050000.0,6050.0,500.0,1.0,False,False,True,False,False,False,True,False,False,True
1050.0,3.0,3.0,2.0,3.0,4700000.0,4476.190476190476,350.0,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
1000.0,2.0,2.0,2.0,2.0,3700000.0,3700.0,500.0,1.0,False,False,True,False,False,False,True,False,False,True
2752.0,2.0,2.0,2.0,2.0,17800000.0,6468.023255813953,1376.0,1.0,False,False,True,False,False,False,True,False,False,True
1000.0,2.0,2.0,2.0,2.0,8600000.0,8600.0,500.0,1.0,False,False,True,False,False,False,True,False,False,True
830.0,2.0,2.0,2.0,2.0,4500000.0,5421.686746987952,415.0,1.0,False,False,True,False,False,False,True,False,True,False
1130.0,2.0,2.0,2.0,2.0,6700000.0,5929.203539823009,565.0,1.0,False,False,True,False,False,False,True,False,False,True
1000.0,2.0,2.0,2.0,2.0,1600000.0,1600.0,500.0,1.0,False,True,False,False,False,False,True,False,False,True
505.0,1.0,1.0,2.0,2.0,1800000.0,3564.3564356435645,505.0,2.0,False,False,True,False,False,False,True,False,False,False
1800.0,3.0,3.0,2.0,2.0,6500000.0,3611.1111111111113,600.0,0.6666666666666666,False,False,True,False,False,False,False,True,True,False
2200.0,5.0,5.0,2.0,2.0,7500000.0,3409.090909090909,440.0,0.4,False,False,True,False,False,False,True,False,True,False
625.0,3.0,3.0,2.0,2.0,1889999.9999999998,3023.9999999999995,208.33333333333334,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
750.0,2.0,2.0,2.0,2.0,4700000.0,6266.666666666667,375.0,1.0,False,False,True,False,False,False,True,False,True,False
3500.0,4.0,4.0,2.0,2.0,13500000.0,3857.1428571428573,875.0,0.5,False,False,True,False,False,False,False,True,False,True
816.0,2.0,2.0,2.0,2.0,3260000.0,3995.098039215686,408.0,1.0,False,False,True,False,False,False,True,False,False,False
1450.0,2.0,2.0,2.0,2.0,8800000.0,6068.9655172413795,725.0,1.0,False,False,True,False,False,False,True,False,False,True
1300.0,3.0,3.0,2.0,2.0,5600000.0,4307.692307692308,433.3333333333333,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
1500.0,2.0,2.0,2.0,2.0,9000000.0,6000.0,750.0,1.0,False,False,True,False,False,False,True,False,False,True
1000.0,2.0,2.0,2.0,2.0,4100000.0,4100.0,500.0,1.0,False,False,True,False,False,False,True,False,False,True
1500.0,2.0,2.0,2.0,2.0,8500000.0,5666.666666666667,750.0,1.0,False,False,True,False,False,False,True,False,False,True
1000.0,2.0,2.0,2.0,2.0,5900000.0,5900.0,500.0,1.0,False,False,True,False,False,False,True,False,False,True
900.0,2.0,2.0,2.0,2.0,2500000.0,2777.777777777778,450.0,1.0,False,False,True,False,False,False,True,False,True,False
3700.0,3.0,3.0,2.0,3.0,17500000.0,4729.72972972973,1233.3333333333333,0.6666666666666666,False,False,True,False,False,False,False,True,False,True
2000.0,6.0,6.0,2.0,2.0,5200000.0,2600.0,333.3333333333333,0.3333333333333333,False,False,True,False,False,False,False,True,True,False
1500.0,2.0,2.0,2.0,2.0,10000000.0,6666.666666666667,750.0,1.0,False,False,True,False,False,False,True,False,False,True
600.0,1.0,1.0,2.0,2.0,1800000.0,3000.0,600.0,2.0,False,False,True,False,False,False,True,False,False,False
1250.0,2.0,2.0,2.0,2.0,3779999.9999999995,3023.9999999999995,625.0,1.0,False,False,True,False,False,False,True,False,True,False
540.0,1.0,1.0,2.0,2.0,3200000.0,5925.925925925926,540.0,2.0,False,False,True,False,False,False,True,False,False,True
600.0,1.0,1.0,2.0,2.0,2700000.0,4500.0,600.0,2.0,False,False,True,False,False,False,True,False,False,False
1500.0,2.0,2.0,2.0,2.0,8200000.0,5466.666666666667,750.0,1.0,False,False,True,False,False,False,True,False,False,True
1500.0,2.0,2.0,2.0,2.0,9000000.0,6000.0,750.0,1.0,False,False,True,False,False,False,True,False,False,True
750.0,1.0,1.0,2.0,2.0,5000000.0,6666.666666666667,750.0,2.0,False,False,True,False,False,False,True,False,True,False
850.0,2.0,2.0,2.0,2.0,3500000.0,4117.64705882353,425.0,1.0,False,False,True,False,False,False,True,False,False,False
350.0,2.0,2.0,2.0,2.0,5000000.0,14285.714285714286,175.0,1.0,False,False,True,False,False,False,True,False,False,True
765.0,2.0,2.0,2.0,2.0,3800000.0,4967.320261437909,382.5,1.0,False,False,True,False,False,False,True,False,False,True
560.0,1.0,1.0,2.0,2.0,1200000.0,2142.8571428571427,560.0,2.0,False,False,True,False,False,False,True,False,False,True
