price,area,bedrooms,bathrooms,location,bhk,property_type,furnishing,balcony
₹44.1 Lac,1100,,,Plot/Land for Sale in godha estate gold Indore,,,,
₹88 Lac,1400,3,,"3 BHK Flat  for Sale in  Old Palasia, Indore",3,,Unfurnished,3
₹44 Lac,1150,3,,"3 BHK Flat  for Sale in  Nariman Point, Nariman Point, Mahalakshmi Nagar, Indore",3,,Unfurnished,3
₹3.33 Cr,2320,,,"Office Space for Sale in Princes Business Skypark, Vijay Nagar Indore",,,,
₹1.89 Cr,2100,,,Plot/Land for Sale in Indore Bypass Road Indore,,,,
₹65 Lac,150,,,Shop for Sale in Regal Square Indore,,,,
₹46.3 Lac,1250,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹53.1 Lac,1264,,,"Plot/Land for Sale in DLF Indore Gardencity, NH-3 Indore",,,,
₹1.71 Cr,2100,3,,3 BHK  House for Sale in Nipania Indore,3,House,Semi-Furnished,3
₹1.03 Cr,2000,4,,"4 BHK  House for Sale in Happy Homes Omaxe City 1 , Mayakhedi Indore",4,House,Semi-Furnished,4
₹1.30 Cr,968,,,Plot/Land for Sale in Scheme No 114 Part 2 Indore,,,,
₹3.70 Cr,4000,5,,"5 BHK  House for Sale in vijay nagar square indore, Vijay Nagar Indore",5,House,Furnished,7
₹1.90 Cr,1007,,,"Office Space for Sale in Sky Corporate Park, Vijay Nagar Indore",,,,
₹1.81 Cr,1438,3,2,"3 BHK Villa for Sale in Man Ocean Park, Nipania Indore",3,Villa,Semi-Furnished,3
₹45.5 Lac,801,2,,"2 BHK Flat  for Sale in  Vista Victoria Urbane Oasis, Vista Victoria Urbane Oasis, Super Corridor, Indore",2,,Unfurnished,2
₹3.42 Cr,,,,Land for Sale in Pipaliyahana Indore,,Villa,,
₹40 Lac,1100,,,"Plot/Land for Sale in Shri Krishna Premium Corridor, Limboda Gari Indore",,,,
₹60 Lac,996,2,,"2 BHK Flat  for Sale in  Saify Signature Heights, Saify Signature Heights, Bicholi Mardana, Indore",2,,Semi-Furnished,
₹38 Lac,1000,,,Plot/Land for Sale in Tirumala gold Indore,,,,
₹1.25 Cr,2500,3,,"3 BHK Villa for Sale in Apollo Sector E Golf Links, Kanadia Road Savindnagar Indore",3,Villa,Semi-Furnished,3
₹1.70 Cr,2500,4,,4 BHK  House for Sale in Nipania Indore,4,House,Furnished,4
₹2.50 Cr,3000,4,,4 BHK  House for Sale in Bengali Square Indore,4,Villa,Semi-Furnished,4
₹1.16 Cr,1800,,,Plot/Land for Sale in Manglia Bypass Indore,,,,
₹2.62 Cr,2381,3,,"3 BHK Flat  for Sale in  Palasiya Square, Indore",3,,Unfurnished,3
₹30 Lac,1500,,,"Plot/Land for Sale in Tricone City, Datoda Indore",,,,
₹78 Lac,1537,2,,"2 BHK Flat  for Sale in  Pinnacle d Dreams, Pinnacle d Dreams, Piplya Kumar, Indore",2,,Furnished,2
₹1.30 Cr,1800,3,,"3 BHK Flat  for Sale in  Heaven Homes, Heaven Homes, Bicholi Mardana, Indore",3,,Furnished,3
₹5 Cr,4850,5,,"5 BHK Flat  for Sale in  Skye Luxuria, Skye Luxuria, Apollo DB City, Indore",5,,Furnished,5
₹65 Lac,1000,,,Plot/Land for Sale in Talawali Chanda Indore,,,,
₹30 Lac,280,,,Shop for Sale in Jail Road Indore,,,,
₹26 Lac,520,,,Plot/Land for Sale in Airport Road Indore,,,,
₹2.75 Cr,3900,,,"Plot/Land for Sale in Apollo Sector E Golf Links, Kanadiya Indore",,,,
₹3.15 Cr,5700,4,2,"4 BHK Villa for Sale in Sakar NRI City 2, Manglia Indore",4,Villa,Furnished,3
₹1.05 Cr,1430,2,,"2 BHK Flat  for Sale in  BCM Park, BCM Park, Piplya Kumar, Indore",2,,Unfurnished,2
₹95 Lac,1650,3,,"3 BHK  House for Sale in Mansi Regency, Silicon City Indore",3,House,Semi-Furnished,3
₹55 Lac,1000,,,"Plot/Land for Sale in Emerald Gateway, Sula Khedi Indore",,,,
₹72 Lac,1000,,,"Plot/Land for Sale in  Ansal Town Indore, Talawali Chanda Indore",,,,
₹5 Cr,6000,5,,"5 BHK Flat  for Sale in  Race Course Road, Indore",5,,Furnished,5
₹36.6 Lac,724,2,,"2 BHK Flat  for Sale in  Sanwar, Indore",2,,Semi-Furnished,2
₹4.70 Cr,36000,4,,"4 BHK Flat  for Sale in  Apollo DB City, Indore",4,,Furnished,3
₹2.16 Cr,1800,,,Plot/Land for Sale in Scheme No 114 Part 1 Indore,,,,
₹2.45 Cr,1453,4,,4 BHK  House for Sale in Mansarovar Nagar Indore,4,House,Furnished,4
₹47.3 Lac,1350,,,Plot/Land for Sale in Bada Bangarda Indore,,,,
₹66 Lac,1650,,,Land for Sale in Ujjain Indore Road Indore,,,,
₹1.22 Cr,1200,3,,"3 BHK Flat  for Sale in  Kanadia Main Road, Indore",3,,Unfurnished,3
₹22 Lac,1000,,,Plot/Land for Sale in Rau Pithampur Road Indore,,,,
₹1.75 Cr,2100,3,,"3 BHK Flat  for Sale in  BCM Paradise, BCM Paradise, Nipania, Indore",3,,Furnished,3
₹1.43 Cr,1500,,,Plot/Land for Sale in Nipania Indore,,,,
₹1.65 Cr,1000,3,,3 BHK  House for Sale in Kanadiya Indore,3,House,Furnished,4
₹1.70 Cr,2500,4,,4 BHK  House for Sale in Nipania Indore,4,House,Semi-Furnished,4
₹1.61 Cr,1800,3,,3 BHK Villa for Sale in Indore Bypass Road Indore,3,Villa,Furnished,3
₹75 Lac,675,3,,3 BHK  House for Sale in Silicon City Indore,3,House,Furnished,3
₹54 Lac,,,,Plot/Land for Sale in Silicon City Indore,,,,
₹3.97 Cr,2650,,,Plot/Land for Sale in Nipania Indore,,,,
₹2.30 Cr,2145,,,"Office Space for Sale in Fortune Azure, Scheme No 54 Indore",,,,
₹78 Lac,1300,,,"Plot/Land for Sale in Malwa County, Manglia Bypass Indore",,,,
₹51 Lac,343,,,Office Space for Sale in New Palasia Indore,,,,
₹1.85 Cr,2400,,,"Plot/Land for Sale in DLF Garden City, DLF Garden City Indore",,,,
₹25 Lac,390,2,,"2 BHK Flat  for Sale in  LIG Colony, Indore",2,,Unfurnished,2
₹1.17 Cr,1500,,,Plot/Land for Sale in Tulsi Nagar Indore,,,,
₹1.24 Cr,1000,,,Plot/Land for Sale in Scheme No 136 Indore,,,,
₹45 Lac,,,,Land for Sale in Mhow Indore,,,,
₹2 Cr,2400,,,"Plot/Land for Sale in Emerald Crescent, Mayakhedi Indore",,,,
₹1.70 Cr,2600,4,,4 BHK  House for Sale in Nipania Indore,4,House,Semi-Furnished,4
₹1.05 Cr,1890,3,,"3 BHK Flat  for Sale in  THE EMPRESS, THE EMPRESS, Nipania, Indore",3,,Furnished,3
₹1.45 Cr,1900,3,,"3 BHK Flat  for Sale in  Dainik Bhaskar Apollo DB City, Dainik Bhaskar Apollo DB City, Nipania, Indore",3,,Unfurnished,3
₹58.2 Lac,1264,,,"Plot/Land for Sale in DLF Gardencity Phase 3, Manglaya Sadak Indore",,,,
₹85 Lac,1150,2,,"2 BHK Flat  for Sale in  S Chugh Palazzo Park Residences, S Chugh Palazzo Park Residences, Nipania, Indore",2,,Furnished,2
₹35 Lac,900,3,,"3 BHK Flat  for Sale in  Silicon City, Indore",3,,Semi-Furnished,2
₹56.4 Lac,990,,,"Plot/Land for Sale in Nariman City, Chhota Bangarda Indore",,,,
₹1.25 Cr,2200,3,,"3 BHK  House for Sale in Platinum Paradise, Nipania Indore",3,House,Semi-Furnished,4
₹3.35 Cr,1500,4,,4 BHK Villa for Sale in Mahalakshmi Nagar Indore,4,Villa,Semi-Furnished,4
₹57 Lac,788,,,Plot/Land for Sale in Shalimar Swayam Greens Indore,,,,
₹46 Lac,920,3,,"3 BHK Flat  for Sale in  Nariman Point, Nariman Point, Mahalakshmi Nagar, Indore",3,,Semi-Furnished,3
₹86 Lac,1607,3,,"3 BHK Flat  for Sale in  Century Park, Century Park, Rajendra Nagar Colony, Indore",3,,Semi-Furnished,2
₹32 Lac,740,,,"Plot/Land for Sale in Shubhangan Omaxe City 1 , Mayakhedi Indore",,,,
₹40 Lac,850,,,"Plot/Land for Sale in Pumarth Meadows, Indore Bypass Road Indore",,,,
₹55 Lac,1000,,,"Plot/Land for Sale in Omaxe City, AB Road Indore",,,,
₹56.4 Lac,700,2,,"2 BHK Flat  for Sale in  Orion Planet, Orion Planet, Bhawrasla, Indore",2,,Unfurnished,2
₹1.30 Cr,1200,4,,4 BHK  House for Sale in Limbodi Indore,4,House,Semi-Furnished,4
₹1.25 Cr,800,3,,3 BHK Villa for Sale in Nipania Indore,3,Villa,Furnished,3
₹85.1 Lac,1890,,,"Plot/Land for Sale in Malwa County, Indore Bypass Road Indore",,,,
₹90 Lac,1650,3,,"3 BHK  House for Sale in Malwa County, AB Road Indore",3,House,Unfurnished,3
₹40 Lac,1000,,,Plot/Land for Sale in Jhalariya Indore,,,,
₹2.34 Cr,1620,,,Plot/Land for Sale in Mahalakshmi Nagar Indore,,,,
₹1.55 Cr,1459,3,,"3 BHK Flat  for Sale in  Mirchandani Shalimar Township, Mirchandani Shalimar Township, AB Road, Indore",3,,Semi-Furnished,3
₹52 Lac,1000,,,"Plot/Land for Sale in Premium Hi Link Greens Parth, Nainod Indore",,,,
₹26.5 Lac,1000,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹66 Lac,1100,,,"Plot/Land for Sale in Emerald Gateway, Sula Khedi Indore",,,,
₹81 Lac,400,,,Office Space for Sale in Scheme No 140 Indore,,,,
₹86 Lac,2000,,,Land for Sale in Super Corridor Indore,,House,,
₹35.6 Lac,,,,"Plot/Land for Sale in Parsvnath City , Manglia Indore",,,,
₹53 Lac,800,,,Plot/Land for Sale in Nipania Indore,,,,
₹36 Lac,800,,,Plot/Land for Sale in Balya Kheda Indore,,,,
₹70 Lac,1500,3,,3 BHK  House for Sale in Ujjain Indore Road Indore,3,House,Semi-Furnished,3
₹93.6 Lac,1800,,,"Plot/Land for Sale in Empire Metro, Jhalariya Indore",,,,
₹2 Cr,1000,,,Plot/Land for Sale in Mahalaxmi Nagar Indore,,,,
₹1.38 Cr,1880,3,,3 BHK Villa for Sale in MR 11 Indore,3,Villa,Semi-Furnished,3
₹35 Lac,1000,,,Plot/Land for Sale in Ujjain Indore Road Indore,,,,
₹49 Lac,1000,,,"Plot/Land for Sale in Happy Homes Omaxe City 1 , Mayakhedi Indore",,,,
₹1.14 Cr,1800,,,"Plot/Land for Sale in Sarthak Singapore Lifestyle, Tigariya Badshah Indore",,,,
₹1.75 Cr,1650,3,,"3 BHK Flat  for Sale in  Premium tower, Premium tower, Shalimar Township, Indore",3,,Semi-Furnished,3
₹45 Lac,1000,,,"Plot/Land for Sale in Omaxe City, Omaxe City 1 Indore",,,,
₹52 Lac,,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹45 Lac,800,,,Land for Sale in Super Corridor Indore,,,,
₹72 Lac,800,2,,"2 BHK Flat  for Sale in  Varun Divine Greens, Varun Divine Greens, Apollo DB City, Indore",2,,Furnished,2
₹87.6 Lac,903,,,Plot/Land for Sale in Mayakhedi Indore,,,,
₹21 Lac,600,,,Plot/Land for Sale in Rau Indore,,,,
₹1.50 Cr,1500,,,"Plot/Land for Sale in Mahalaxmi Nagar, Mahalakshmi Nagar Indore",,,,
₹75 Lac,1600,3,,"3 BHK Villa for Sale in Agarwal Casa Villas, Talawali Chanda Indore",3,Villa,Unfurnished,3
₹1.30 Cr,1436,3,,"3 BHK Flat  for Sale in  Sakar Elite Apex, Sakar Elite Apex, Mahalakshmi Nagar, Indore",3,,Furnished,2
₹1.20 Cr,1000,3,,3 BHK  House for Sale in Omaxe City 1 Indore,3,House,Semi-Furnished,3
₹54 Lac,796,2,,"2 BHK Flat  for Sale in  Leeds Enclave, Leeds Enclave, Manu Shree Nagar, Indore",2,,Semi-Furnished,2
₹45 Lac,4500,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹4.85 Cr,4850,5,,"5 BHK Flat  for Sale in  Skye Luxuria, Skye Luxuria, Nipania, Indore",5,,Unfurnished,5
₹75 Lac,1000,,,Plot/Land for Sale in Chhota Bangarda Indore,,,,
₹45 Lac,300,,,Shop for Sale in Nemawar Road Indore,,,,
₹21 Lac,720,2,2,"2 BHK Flat  for Sale in  Shri Krishna Avenue Phase 2, Shri Krishna Avenue Phase 2, Limbodi, Indore",2,,Unfurnished,
₹30 Lac,800,,,Plot/Land for Sale in Palakhedi Indore,,,,
₹18 Lac,800,,,Plot/Land for Sale in Betma Indore,,,,
₹2.50 Cr,1100,4,,4 BHK  House for Sale in House Indore,4,House,Semi-Furnished,4
₹32 Lac,1175,3,,"3 BHK Flat  for Sale in  samarth park, samarth park, Mhow, Indore",3,,Unfurnished,3
₹25 Lac,1200,,,"Plot/Land for Sale in Pithampur City Homes, Rau Pithampur Road Indore",,,,
₹9 Lac,600,,,Plot/Land for Sale in Dharampuri Indore,,,,
₹45 Lac,750,,,Plot/Land for Sale in Ujjain Indore Road Indore,,,,
₹55 Lac,700,2,,2 BHK Villa for Sale in Super Corridor Indore,2,Villa,Unfurnished,2
₹12 Cr,000,,,Showroom for Sale in Saket Nagar Indore,,,,
₹35 Lac,1000,,,Plot/Land for Sale in Phoenix Township Indore,,,,
₹1 Cr,1770,3,,"3 BHK Flat  for Sale in  Scheme No 94, Indore",3,,Furnished,
₹1.60 Cr,2150,3,,"3 BHK Villa for Sale in SS Infinitus Row Houses, MR 11 Indore",3,Villa,Semi-Furnished,3
₹45 Lac,882,3,,"3 BHK Flat  for Sale in  Manikbagh, Indore",3,,Unfurnished,3
₹60 Lac,975,2,,"2 BHK Flat  for Sale in  AB Road, Indore",2,,Unfurnished,2
₹1.10 Cr,20000,,,Agricultural Land for Sale in Khandwa Road Indore,,,,
₹2 Cr,1250,4,,4 BHK  House for Sale in Tilak Nagar Indore,4,House,Semi-Furnished,4
₹65 Lac,750,2,,2 BHK  House for Sale in Sudama Nagar Indore,2,House,,
₹28 Lac,600,2,,"2 BHK Flat  for Sale in  Kanak Smart City, Kanak Smart City, Ujjain Road Pologround Industrial Estate, Indore",2,,Unfurnished,2
₹6.50 Cr,8700,10,,> 10 BHK  House for Sale in Chikitsak Nagar Indore,10,House,Semi-Furnished,
₹30 Lac,740,2,,"2 BHK Flat  for Sale in  Shree Nagar Extension, Indore",2,,Unfurnished,2
₹55 Lac,1072,3,,"3 BHK Flat  for Sale in  New Vijay Nagar Extension, New Vijay Nagar Extension, Bhawrasla, Indore",3,,Unfurnished,3
₹1.07 Cr,1050,3,,"3 BHK  House for Sale in Casa Greens, AB Road Indore",3,House,Semi-Furnished,3
₹8 Lac,,,,Agricultural Land for Sale in Land agriculture Indore,,,,
₹36 Lac,900,,,Plot/Land for Sale in Devas Road Indore,,,,
₹65 Lac,690,,,Office Space for Sale in Old Palasiya Indore,,,,
₹1 Cr,5000,,,Plot/Land for Sale in Kailod Kartal Indore,,,,
₹95 Lac,1000,,,Plot/Land for Sale in Vaibhav nagar Indore,,,,
₹45.5 Lac,1000,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹42.5 Lac,1000,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹10.2 Lac,566,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹1.51 Cr,3000,,,Plot/Land for Sale in raoji bazar Indore,,,,
₹1.20 Cr,2650,5,,5 BHK  House for Sale in Katju Colony Indore,5,House,Unfurnished,
₹40 Lac,1000,,,Plot/Land for Sale in Ujjain Indore Road Indore,,,,
₹24 Lac,650,1,,"1 BHK Flat  for Sale in  Chandralok Colony, Indore",1,,Furnished,
₹60 Lac,1000,2,,2 BHK  House for Sale in Silicon City Indore,2,House,Semi-Furnished,
₹3.65 Cr,2200,4,,"4 BHK Flat  for Sale in  Shivom Regency, Shivom Regency, Vijay Nagar, Indore",4,,Furnished,5
₹29 Lac,1000,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹8 Cr,4795,5,,"5 BHK Flat  for Sale in  JK Shivneri Sahil Empire, JK Shivneri Sahil Empire, Bicholi Mardana, Indore",5,,Furnished,5
₹3.40 Cr,5000,9,,9 BHK  House for Sale in Vijay Nagar Indore,9,House,Furnished,
₹55 Lac,1500,,,"Plot/Land for Sale in Amrapali Modern City Plots, Rau Pithampur Road Indore",,,,
₹1.20 Cr,2000,,,Plot/Land for Sale in AB Road Indore,,,,
₹4 Cr,5000,,,Plot/Land for Sale in Navlakha Indore,,,,
₹36 Lac,980,2,,"2 BHK Flat  for Sale in  Sarvsammpanna Nagar, Indore",2,,Semi-Furnished,
₹24 Lac,680,2,,"2 BHK Flat  for Sale in  Shriji Valley, Indore",2,,Unfurnished,2
₹45 Lac,1000,,,Plot/Land for Sale in Bada Bangarda Indore,,,,
₹65 Lac,1500,,,Plot/Land for Sale in Khandwa Road Indore,,,,
₹18 Lac,750,,,"Plot/Land for Sale in Atlantis City, Super Corridor Indore",,,,
₹42.5 Lac,1000,,,"Plot/Land for Sale in Drushika Imperial, Hatod Indore",,,,
₹1.12 Cr,1000,,,Plot/Land for Sale in Race Course Road Indore,,,,
₹38 Lac,1562,3,,"3 BHK Flat  for Sale in  Chhota Bangarda, Indore",3,,Semi-Furnished,
₹1 Cr,600,4,,4 BHK  House for Sale in Smriti Nagar Indore,4,House,Semi-Furnished,4
₹35.7 Lac,850,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹9 Lac,350,1,,1 BHK Flat  for Sale in   Indore,1,,Semi-Furnished,1
₹53 Lac,1150,2,,"2 BHK Flat  for Sale in  Bengali Square, Indore",2,,Semi-Furnished,2
₹45.5 Lac,1000,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹27 Lac,600,,,Plot/Land for Sale in New Gouri Nagar Indore,,,,
₹75 Lac,807,3,,"3 BHK  House for Sale in Annex, Omaxe City 1 Indore",3,House,Semi-Furnished,
₹3 Cr,13600,,,Industrial Land for Sale in Pithampur Indore,,,,
₹1.33 Cr,2154,,,"Plot/Land for Sale in Vistara Township, Indore Bypass Road Indore",,,,
₹35 Lac,1080,3,,"3 BHK Flat  for Sale in  Tejpurgarbari, Indore",3,,Semi-Furnished,2
₹37 Lac,1000,,,Plot/Land for Sale in Bicholi Mardana Indore,,,,
₹1.60 Cr,1700,5,,5 BHK  House for Sale in Tilak Nagar Indore,5,House,Unfurnished,
₹37 Lac,800,2,,"2 BHK Flat  for Sale in  Palash Parishar, Palash Parishar, Silicon City, Indore",2,,Furnished,2
₹1.25 Cr,750,,,Office Space for Sale in Tower Square Indore,,,,
₹1 Cr,800,2,,2 BHK  House for Sale in Rau Indore,2,House,Semi-Furnished,2
₹40 Lac,1000,,,"Plot/Land for Sale in Drushika Imperial, Hatod Indore",,,,
₹74.9 Lac,1090,3,,"3 BHK Flat  for Sale in  Classic Swastika City, Classic Swastika City, AB Road, Indore",3,,Semi-Furnished,3
₹1.30 Cr,1500,5,,5 BHK  House for Sale in Nanda Nagar Indore,5,House,Semi-Furnished,
₹1.60 Cr,18190,,,Agricultural Land for Sale in Mhow Indore,,,,
₹27 Lac,200,,,Shop for Sale in Khajrana Indore,,,,
₹90 Lac,1970,5,,5 BHK  House for Sale in Radha Nagar Indore,5,House,Unfurnished,6
₹60 Lac,2000,6,,6 BHK  House for Sale in Loknayak Nagar Indore,6,House,Unfurnished,
₹48 Lac,1200,3,,3 BHK  House for Sale in Mhow Indore,3,House,Semi-Furnished,
₹30 Lac,925,2,,"2 BHK Flat  for Sale in  Treasure Fantasy, Treasure Fantasy, Rau Road, Indore",2,,Semi-Furnished,2
₹29 Lac,1100,,,Plot/Land for Sale in Ujjain Road Pologround Industrial Estate Indore,,,,
₹70 Lac,1120,3,,"3 BHK Flat  for Sale in  Bengali Square, Indore",3,,Semi-Furnished,2
₹25.5 Lac,1000,2,,2 BHK  House for Sale in Prajapat Nagar Indore,2,House,Unfurnished,
₹21 Lac,700,2,,"2 BHK Flat  for Sale in  Shriji Valley, Indore",2,,Unfurnished,2
₹80 Lac,1333,2,,"2 BHK Flat  for Sale in  Sakar Elite Anmol, Sakar Elite Anmol, Bicholi Mardana, Indore",2,,Semi-Furnished,
₹4 Cr,000,,,"Industrial Shed for Sale in Pithampur, Indore Indore",,,,
₹42 Lac,830,2,,"2 BHK Flat  for Sale in  Jail Road, Indore",2,,Unfurnished,2
₹42 Lac,914,2,,"2 BHK Flat  for Sale in  Laabham Residency, Laabham Residency, Pipaliyahana, Indore",2,,Unfurnished,2
₹42 Lac,1100,2,,"2 BHK Flat  for Sale in  Balaji Regency, Balaji Regency, Dravid Nagar, Indore",2,,Furnished,3
₹80 Lac,2000,3,,3 BHK Villa for Sale in Mhow Indore,3,Villa,Semi-Furnished,
₹25 Lac,750,,,Plot/Land for Sale in sai residency Mhow Indore,,,,
₹30.5 Lac,1000,,,"Plot/Land for Sale in Gracelands Highway Serene City, AB Road Indore",,,,
₹18 Lac,600,,,Plot/Land for Sale in Ujjain Indore Road Indore,,,,
₹55 Lac,1082,2,,"2 BHK Flat  for Sale in  Chhota Bangarda, Indore",2,,Semi-Furnished,3
₹2.50 Cr,1200,4,,4 BHK  House for Sale in Society Indore,4,House,,
₹36 Lac,1500,,,"Plot/Land for Sale in Millennium Corridor, Super Corridor Indore",,,,
₹46.5 Lac,600,2,,2 BHK  House for Sale in New Gouri Nagar Indore,2,House,Unfurnished,
₹1.70 Cr,2200,3,,"3 BHK  House for Sale in Annex, Omaxe City 1 Indore",3,House,Furnished,
₹25.5 Lac,600,,,Plot/Land for Sale in Airport Road Indore,,,,
₹35 Lac,1250,3,,3 BHK  House for Sale in Mhow Indore,3,House,Unfurnished,
₹57 Lac,1108,3,,"3 BHK Flat  for Sale in  Shubh Labh Residency, Shubh Labh Residency, Khajrana, Indore",3,,Unfurnished,3
₹60 Lac,750,2,,"2 BHK Flat  for Sale in  Sukhlia, Indore",2,,Furnished,2
₹48 Lac,980,2,,"2 BHK Flat  for Sale in  classic swastik city, classic swastik city, Sukhlia, Indore",2,,Semi-Furnished,2
₹2.99 Cr,2401,7,,"7 BHK Villa for Sale in DLF Garden City Indore, Manglaya Sadak Indore",7,Villa,Furnished,5
₹87.9 Lac,1300,2,,"2 BHK Flat  for Sale in  S Chugh Palazzo Park Residences, S Chugh Palazzo Park Residences, Nipania, Indore",2,,Furnished,2
₹76 Lac,1550,,,Plot/Land for Sale in DLF Garden City Indore,,,,
₹1.50 Cr,900,4,,4 BHK  House for Sale in Scheme No 78 Indore,4,House,Unfurnished,4
₹45 Lac,1000,,,"Plot/Land for Sale in Dream Aashiyana Township, Bada Bangarda Indore",,,,
₹38 Lac,800,2,,"2 BHK Flat  for Sale in  Manishpuri, Indore",2,,Unfurnished,2
₹5.51 Cr,5000,6,,6 BHK  House for Sale in Gumasta Nagar Indore,6,House,Semi-Furnished,6
₹1.10 Cr,1100,,,Plot/Land for Sale in Greater Brijeshwari Indore,,,,
₹30 Lac,800,1,,"1 BHK Flat  for Sale in  Prashant Sagar, Prashant Sagar, Sanchar Nagar, Indore",1,,Unfurnished,1
₹32 Lac,775,2,,"2 BHK Flat  for Sale in  Goyal Nagar, Indore",2,,Unfurnished,2
₹21 Lac,750,2,,"2 BHK Flat  for Sale in  Gyansheela city, Gyansheela city, Dhabli, Indore",2,,Semi-Furnished,2
₹60 Lac,1600,4,,4 BHK  House for Sale in Sukhliya Indore,4,House,Unfurnished,
₹18 Lac,610,1,,1 BHK Flat  for Sale in   Indore,1,,Semi-Furnished,
₹7 Cr,4000,6,,6 BHK Villa for Sale in Saket Nagar Indore,6,Villa,Semi-Furnished,
₹9.75 Cr,4500,4,,4 BHK Villa for Sale in Kanchan Bagh Indore,4,Villa,Semi-Furnished,5
₹26 Lac,180,,,Shop for Sale in Annapurna Road Prabhu Nagar Indore,,,,
₹5.40 Cr,5400,5,,"5 BHK Flat  for Sale in  Saket Nagar, Indore",5,,Furnished,6
₹13 Lac,220,,,Shop for Sale in Prem Nagar Indore,,,,
₹1.55 Cr,1243,,,Plot/Land for Sale in Scheme No 94 Indore,,,,
₹4 Cr,6500,3,,"3 BHK Flat  for Sale in  Harsidhi, Indore",3,,Unfurnished,4
₹1.50 Cr,,,,Plot/Land for Sale in Suncity Indore,,,,
₹1.75 Cr,2100,3,,3 BHK  House for Sale in Scheme No 114 Part 1 Indore,3,House,Furnished,3
₹23.5 Lac,850,2,2,"2 BHK Flat  for Sale in  Shri Krishna Avenue Phase 2, Shri Krishna Avenue Phase 2, Limbodi, Indore",2,,Furnished,2
₹82 Lac,650,2,,2 BHK Farm House for Sale in Kanadia Main Road Indore,2,House,Semi-Furnished,
₹85 Lac,992,3,,"3 BHK Flat  for Sale in  Manorama Ganj, Indore",3,,Furnished,
Call for Price,000,,,Industrial Shed for Sale in Akash industrial park sindhi baroda Indore,,,,
₹42.5 Lac,1000,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹36 Lac,1250,3,,"3 BHK Flat  for Sale in  Bicholi Mardana, Indore",3,,Semi-Furnished,
₹96.9 Lac,1384,,,"Plot/Land for Sale in Arone Majestic Courtyard, Jhalariya Indore",,,,
₹56 Lac,782,2,,"2 BHK Flat  for Sale in  Nakoda Raunak Pratham Paradise, Nakoda Raunak Pratham Paradise, Kanadia Main Road, Indore",2,,Semi-Furnished,2
₹47 Lac,800,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹30 Lac,1440,,,"Plot/Land for Sale in Sai Gold City, Arandia Indore",,,,
₹46.5 Lac,1000,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹1.35 Cr,1000,,,Plot/Land for Sale in Mahalaxmi Nagar Indore,,,,
₹22.8 Lac,800,,,"Plot/Land for Sale in Dream Lake View City NX, Ujjain Indore Road Indore",,,,
₹39 Lac,,,,Plot/Land for Sale in Rau Indore,,,,
₹44 Lac,,,,Plot/Land for Sale in HIlink City Indore,,,,
₹35 Lac,1000,,,Plot/Land for Sale in Ujjain Indore Road Indore,,,,
₹18 Lac,580,1,,"1 BHK Flat  for Sale in  Shreeji Heights, Shreeji Heights, Bicholi Mardana, Indore",1,,Unfurnished,2
₹45 Lac,600,4,,4 BHK  House for Sale in Palsikar Colony Indore,4,House,Unfurnished,
₹50 Lac,1025,2,,"2 BHK Flat  for Sale in  Orion Planet, Orion Planet, Bhawrasla, Indore",2,,Unfurnished,2
₹15 Lac,450,1,,"1 BHK Flat  for Sale in  Alok Nagar, Indore",1,,Semi-Furnished,
₹40 Lac,1000,,,Land for Sale in Super Corridor Indore,,,,
₹62 Lac,1250,,,Plot/Land for Sale in Khandwa Road Indore,,,,
₹1.50 Cr,1600,5,,5 BHK  House for Sale in Sindhi Colony Indore,5,House,Unfurnished,
₹12 Lac,4000,1,,1 BHK Farm House for Sale in Simrol Indore,1,House,Unfurnished,
₹8.8 Lac,420,,,Plot/Land for Sale in Palda Indore,,,,
₹22 Lac,585,1,,1 BHK Flat  for Sale in   Indore,1,,Unfurnished,1
₹1.47 Cr,1000,6,,6 BHK Villa for Sale in A-27 Chitra Estate ganesh Dham Indore MP Indore,6,Villa,Unfurnished,
₹1.75 Cr,,,,"Agricultural Land for Sale in Indore Ujjain Road, Indore Indore",,,,
₹85 Lac,1760,3,,3 BHK Flat  for Sale in   Indore,3,,Furnished,2
₹35.3 Lac,1000,,,"Plot/Land for Sale in Jaiswal Saffron City Extension, Super Corridor Indore",,,,
₹1.65 Cr,,,,"Agricultural Land for Sale in Laxmankhedi,Saver behind Charpai Hotel Indore",,,,
₹50 Lac,1500,,,Plot/Land for Sale in Saket Nagar Indore,,,,
₹50 Lac,880,2,,"2 BHK Flat  for Sale in  Annapurna Road Prabhu Nagar, Indore",2,,Unfurnished,
