price,area,bedrooms,bathrooms,location,bhk,property_type,furnishing,balcony
₹55 Lac,1042,2,,"2 BHK Flat  for Sale in  Casa Greens, Casa Greens, AB Road, Indore",2,,Semi-Furnished,
₹10.8 Lac,,,,Plot/Land for Sale in Jhalariya Indore,,,,
₹1.02 Cr,1358,,,"Plot/Land for Sale in Arone Majestic Courtyard, Jhalariya Indore",,,,
₹7 Cr,14000,10,,> 10 BHK  House for Sale in Juni Indore Indore,10,House,Unfurnished,10
₹58 Lac,1000,,,Plot/Land for Sale in Rau Indore,,,,
₹19 Lac,620,,,"Plot/Land for Sale in Pumarth Meadows, Indore Bypass Road Indore",,,,
₹2.60 Cr,16000,2,,2 BHK Farm House for Sale in Mhow Indore,2,House,Furnished,
₹98 Lac,1150,3,,"3 BHK Flat  for Sale in  Anoop Nagar, Indore",3,,Unfurnished,3
₹41 Lac,500,,,Land for Sale in Super Corridor Indore,,,,
₹29 Lac,1000,,,Plot/Land for Sale in Paliya Indore,,,,
₹2 Cr,2030,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹65.7 Lac,900,,,"Plot/Land for Sale in Godha Estate Preminum, Super Corridor Indore",,,,
₹90 Lac,440,,,Shop for Sale in Chhoti Gwaltoli Indore,,,,
₹10 Lac,5000,,,Agricultural Land for Sale in Nemawar Road Indore,,,,
₹41.1 Lac,10000,,,Agricultural Land for Sale in Nemawar Road Indore,,,,
₹2.50 Cr,6082,,,Showroom for Sale in Nemawar Road Indore,,,,
₹35 Lac,70000,,,Industrial Land for Sale in Nemawar Road Indore,,,,
₹65 Lac,740,,,Office Space for Sale in Vijay Nagar Indore,,,,
₹92 Lac,1000,,,Plot/Land for Sale in Rani Bagh B Indore,,,,
₹4.60 Cr,,,,Land for Sale in Dudhia Indore,,,,
₹20 Lac,1180,3,,"3 BHK Flat  for Sale in  Dudhia, Indore",3,,Unfurnished,
₹25 Lac,1000,2,,2 BHK  House for Sale in Barodiya Ema Indore,2,House,Semi-Furnished,
₹68 Lac,1000,,,Plot/Land for Sale in Pragati Nagar Indore,,,,
₹16 Cr,40000,,,Plot/Land for Sale in Pragati Nagar Indore,,,,
₹15 Lac,405,1,,"1 BHK Flat  for Sale in  Pragati Nagar, Indore",1,,Unfurnished,
₹22.5 Lac,300,,,Plot/Land for Sale in Ganesh Nagar Indore,,,,
₹55 Lac,1000,3,,3 BHK  House for Sale in Crown Indore,3,House,Semi-Furnished,
₹90 Lac,750,2,,2 BHK  House for Sale in Nipania Indore,2,House,Furnished,2
₹4 Cr,24000,,,Land for Sale in Tillor Khurd Indore,,,,
₹30 Lac,1075,4,,4 BHK  House for Sale in Tillor Khurd Indore,4,House,Unfurnished,
₹47.5 Lac,1230,3,,"3 BHK Flat  for Sale in  Man Ocean Park, Man Ocean Park, Nipania, Indore",3,,Semi-Furnished,
₹1.30 Cr,1750,,,Land for Sale in Vishwakarma Nagar Indore,,,,
₹11.3 Lac,375,1,,1 BHK  House for Sale in Greater Vaishali Nagar Indore,1,House,Unfurnished,
₹27 Lac,1000,2,,"2 BHK Flat  for Sale in  Greater Vaishali Nagar, Indore",2,,Semi-Furnished,
₹1.12 Cr,1400,,,Plot/Land for Sale in Vishwakarma Nagar Indore,,,,
₹45 Lac,1050,2,,"2 BHK Flat  for Sale in  Vishwakarma Nagar, Indore",2,,Unfurnished,
₹40 Lac,900,2,,"2 BHK Flat  for Sale in  Vishwakarma Nagar, Indore",2,,Semi-Furnished,
₹25 Lac,700,2,,"2 BHK Flat  for Sale in  Greater Vaishali Nagar, Indore",2,,Semi-Furnished,
₹40 Lac,1200,4,,4 BHK  House for Sale in Narmada Nagar Indore,4,House,Semi-Furnished,
₹4.50 Cr,,,,Agricultural Land for Sale in Narmada Nagar Indore,,,,
₹2.25 Cr,280,,,Shop for Sale in Ranipura Indore,,,,
